Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20152017","2015-2017","million No","231.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20162018","2016-2018","million No","246.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","256.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20182020","2018-2020","million No","274.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20192021","2019-2021","million No","301.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20202022","2020-2022","million No","326","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2016","2016","million No","237.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2017","2017","million No","252.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2018","2018","million No","250.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2019","2019","million No","268.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2020","2020","million No","305","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2021","2021","million No","331.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20152017","2015-2017","million No","64.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20162018","2016-2018","million No","68.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","71.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20182020","2018-2020","million No","75.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20192021","2019-2021","million No","83.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20202022","2020-2022","million No","91.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2016","2016","million No","65.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2017","2017","million No","70.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2018","2018","million No","69.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2019","2019","million No","73.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2020","2020","million No","84.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2021","2021","million No","93.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20152017","2015-2017","million No","67.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20162018","2016-2018","million No","72.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","75.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20182020","2018-2020","million No","80.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20192021","2019-2021","million No","89","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20202022","2020-2022","million No","96.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2016","2016","million No","70","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2017","2017","million No","73","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2018","2018","million No","73.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2019","2019","million No","79.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2020","2020","million No","90.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2021","2021","million No","97.7","E","Estimated value",""
